Scenario: Isolated camera phantom - nothing else in the scenario to react to
Showing vehicle: 'solo' (pass a second argument to choose a different one)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
  0.0 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.1 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.2 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.3 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.4 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.5 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.6 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.7 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.8 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.9 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.0 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.1 |      solo |      45.00 |    0 |         - |      3.0* |         - |         3.0 |      True |    camera |                      - |           | 
  1.2 |      solo |      43.55 |    1 |         - |      3.0* |         - |         3.0 |      True |    camera |                      - |           | 
  1.3 |      solo |      42.09 |    1 |         - |      3.0* |         - |         3.0 |      True |    camera |                      - |           | 
  1.4 |      solo |      40.64 |    1 |         - |      3.0* |         - |         3.0 |      True |    camera |                      - |           | 
  1.5 |      solo |      39.18 |    1 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.6 |      solo |      39.63 |    1 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.7 |      solo |      40.08 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.8 |      solo |      40.53 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.9 |      solo |      40.97 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.0 |      solo |      41.42 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.1 |      solo |      41.87 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.2 |      solo |      42.32 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.3 |      solo |      42.76 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.4 |      solo |      43.21 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.5 |      solo |      43.66 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.6 |      solo |      44.11 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.7 |      solo |      44.55 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.8 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.9 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.0 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.1 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.2 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.3 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.4 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.5 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.6 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.7 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.8 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.9 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.0 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.1 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.2 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.3 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.4 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.5 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.6 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.7 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.8 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  4.9 |      solo |      45.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
