Scenario: Reduced visibility alone causes a collision - no attack required
Showing all vehicles, one after another (not interleaved tick-by-tick)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
--- solo ---
  0.0 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.1 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.2 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.3 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.4 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.5 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.6 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.7 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.8 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.9 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.0 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.1 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.2 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.3 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.4 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.5 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.6 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.7 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.8 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.9 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.0 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.1 |      solo |      44.74 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
