Scenario: Multi-car platoon: four simultaneous attacks across four fusion policies, plus a cascade (randomised with background traffic)
Showing vehicle: 'v1_camera' (pass a second argument to choose a different one)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
  0.0 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.1 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.2 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.3 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.4 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.5 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.6 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.7 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.8 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.9 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.0 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.1 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.2 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.3 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.4 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.5 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.6 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.7 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.8 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.9 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.0 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.1 | v1_camera |      28.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
