Scenario: Coordinated radar + LiDAR spoof defeats majority_vote
Showing all vehicles, one after another
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
--- solo ---
  0.0 |      solo |      44.74 |    0 |     150.0 |     150.0 |         - |       150.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.1 |      solo |      44.74 |    0 |     148.0 |     148.0 |         - |       148.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.2 |      solo |      44.74 |    0 |     146.0 |     146.0 |         - |       146.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.3 |      solo |      44.74 |    0 |     144.0 |     144.0 |         - |       144.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.4 |      solo |      44.74 |    0 |     142.0 |     142.0 |         - |       142.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.5 |      solo |      44.74 |    0 |     140.0 |     140.0 |         - |       140.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.6 |      solo |      44.74 |    0 |     138.0 |     138.0 |         - |       138.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.7 |      solo |      44.74 |    0 |     136.0 |     136.0 |         - |       136.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.8 |      solo |      44.74 |    0 |     134.0 |     134.0 |         - |       134.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  0.9 |      solo |      44.74 |    0 |     132.0 |     132.0 |         - |       132.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.0 |      solo |      44.74 |    0 |     130.0 |     130.0 |         - |       130.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.1 |      solo |      44.74 |    0 |     128.0 |     128.0 |         - |       128.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.2 |      solo |      44.74 |    0 |     126.0 |     126.0 |         - |       126.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.3 |      solo |      44.74 |    0 |     124.0 |     124.0 |         - |       124.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.4 |      solo |      44.74 |    0 |     122.0 |     122.0 |         - |       122.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.5 |      solo |      44.74 |    0 |     120.0 |     120.0 |         - |       120.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.6 |      solo |      44.74 |    0 |     118.0 |     118.0 |         - |       118.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.7 |      solo |      44.74 |    0 |     116.0 |     116.0 |         - |       116.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.8 |      solo |      44.74 |    0 |     114.0 |     114.0 |         - |       114.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  1.9 |      solo |      44.74 |    0 |     112.0 |     112.0 |         - |       112.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.0 |      solo |      44.74 |    0 |     110.0 |     110.0 |         - |       110.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.1 |      solo |      44.74 |    0 |     108.0 |     108.0 |         - |       108.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.2 |      solo |      44.74 |    0 |     106.0 |     106.0 |         - |       106.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.3 |      solo |      44.74 |    0 |     104.0 |     104.0 |         - |       104.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.4 |      solo |      44.74 |    0 |     102.0 |     102.0 |         - |       102.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.5 |      solo |      44.74 |    0 |     100.0 |     100.0 |         - |       100.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.6 |      solo |      44.74 |    0 |      98.0 |      98.0 |         - |        98.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.7 |      solo |      44.74 |    0 |      96.0 |      96.0 |         - |        96.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.8 |      solo |      44.74 |    0 |      94.0 |      94.0 |         - |        94.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  2.9 |      solo |      44.74 |    0 |      92.0 |      92.0 |         - |        92.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.0 |      solo |      44.74 |    0 |      90.0 |      90.0 |         - |        90.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.1 |      solo |      44.74 |    0 |      88.0 |      88.0 |         - |        88.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.2 |      solo |      44.74 |    0 |      86.0 |      86.0 |         - |        86.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.3 |      solo |      44.74 |    0 |      84.0 |      84.0 |         - |        84.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.4 |      solo |      44.74 |    0 |      82.0 |      82.0 |         - |        82.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.5 |      solo |      44.74 |    0 |      80.0 |      80.0 |      80.0 |        80.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.6 |      solo |      44.74 |    0 |      78.0 |      78.0 |      78.0 |        78.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.7 |      solo |      44.74 |    0 |      76.0 |      76.0 |      76.0 |        76.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.8 |      solo |      44.74 |    0 |      74.0 |      74.0 |      74.0 |        74.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  3.9 |      solo |      44.74 |    0 |      72.0 |      72.0 |      72.0 |        72.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.0 |      solo |      44.74 |    0 |      70.0 |      70.0 |      70.0 |        70.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.1 |      solo |      44.74 |    0 |      68.0 |      68.0 |      68.0 |        68.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.2 |      solo |      44.73 |    0 |      66.0 |      66.0 |      66.0 |        66.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.3 |      solo |      44.67 |    0 |      64.0 |      64.0 |      64.0 |        64.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.4 |      solo |      44.56 |    0 |      62.0 |      62.0 |      62.0 |        62.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.5 |      solo |      44.40 |    0 |      60.0 |      60.0 |      60.0 |        60.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.6 |      solo |      44.19 |    0 |    200.0* |      58.0 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.7 |      solo |      44.64 |    0 |    200.0* |      56.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.8 |      solo |      44.74 |    0 |    200.0* |      54.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  4.9 |      solo |      44.74 |    0 |    200.0* |      52.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.0 |      solo |      44.74 |    0 |    200.0* |      50.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.1 |      solo |      44.74 |    0 |    200.0* |      48.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.2 |      solo |      44.74 |    0 |    200.0* |      46.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.3 |      solo |      44.74 |    0 |    200.0* |      44.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.4 |      solo |      44.74 |    0 |    200.0* |      42.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.5 |      solo |      44.74 |    0 |    200.0* |      40.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.6 |      solo |      44.74 |    0 |    200.0* |      38.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.7 |      solo |      44.74 |    0 |    200.0* |      36.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.8 |      solo |      44.74 |    0 |    200.0* |      34.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  5.9 |      solo |      44.74 |    0 |    200.0* |      32.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  6.0 |      solo |      44.74 |    0 |    200.0* |      30.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  6.1 |      solo |      44.74 |    0 |    200.0* |      28.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  6.2 |      solo |      44.74 |    0 |    200.0* |      26.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  6.3 |      solo |      44.74 |    0 |    200.0* |      24.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
  6.4 |      solo |      44.74 |    0 |    200.0* |      22.1 |    200.0* |       200.0 |      True |  majority | hazard:pedestrian_crossing |           | 
