run_id,oncoming.start_speed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
0,9.924,oncoming,False,,,18.3,22.2
0,9.924,solo,False,,,21.28,45.0
1,10.014,oncoming,False,,,18.15,22.4
1,10.014,solo,False,,,20.57,45.0
2,10.103,oncoming,False,,,16.97,22.6
2,10.103,solo,False,,,17.92,45.0
3,10.193,oncoming,False,,,15.53,22.8
3,10.193,solo,False,,,15.15,45.0
4,10.282,oncoming,False,,,23.0,23.0
4,10.282,solo,True,slight,7.899999999999988,0.0,0.0
5,10.371,oncoming,False,,,23.2,23.2
5,10.371,solo,True,slight,7.899999999999988,0.0,0.0
6,10.461,oncoming,False,,,23.4,23.4
6,10.461,solo,True,slight,7.899999999999988,0.0,0.0
7,10.55,oncoming,False,,,23.6,23.6
7,10.55,solo,True,slight,7.899999999999988,0.0,0.0
8,10.64,oncoming,False,,,23.8,23.8
8,10.64,solo,True,slight,7.899999999999988,0.0,0.0
