run_id,oncoming.start_speed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
0,8.941,solo,False,,,35.15,45.0
1,9.835,solo,False,,,23.37,45.0
2,10.729,solo,True,slight,7.899999999999988,0.0,0.0
3,11.623,solo,True,slight,7.899999999999988,0.0,0.0
4,12.517,solo,True,slight,7.899999999999988,0.0,0.0
5,13.411,solo,True,slight,7.899999999999988,0.0,0.0
6,13.858,solo,True,slight,7.899999999999988,0.0,0.0
7,14.305,solo,True,slight,7.899999999999988,0.0,0.0
8,14.752,solo,True,slight,7.899999999999988,0.0,0.0
9,14.976,solo,True,fatal,7.899999999999988,0.0,0.0
10,15.199,solo,True,slight,7.899999999999988,0.0,0.0
