Scenario: Phantom camera brake near the junction, two vehicles, camera-priority fusion
Showing vehicle: 'follower' (pass a second argument to choose a different one)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
  0.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  0.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  1.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  2.0 |  follower |      45.00 |    0 |      94.8 |      94.8 |         - |        94.8 |      True |    camera |     roundabout_giveway |           | 
  2.1 |  follower |      45.00 |    0 |      92.8 |      92.8 |         - |        92.8 |      True |    camera |     roundabout_giveway |           | 
  2.2 |  follower |      45.00 |    0 |      90.7 |      90.7 |         - |        90.7 |      True |    camera |     roundabout_giveway |           | 
  2.3 |  follower |      45.00 |    0 |      88.7 |      88.7 |         - |        88.7 |      True |    camera |     roundabout_giveway |           | 
  2.4 |  follower |      45.00 |    0 |      86.7 |      86.7 |         - |        86.7 |      True |    camera |     roundabout_giveway |           | 
  2.5 |  follower |      45.00 |    0 |      84.7 |      84.7 |         - |        84.7 |      True |    camera |     roundabout_giveway |           | 
  2.6 |  follower |      45.00 |    0 |      82.7 |      82.7 |         - |        82.7 |      True |    camera |     roundabout_giveway |           | 
  2.7 |  follower |      45.00 |    0 |      80.7 |      80.7 |         - |        80.7 |      True |    camera |     roundabout_giveway |           | 
  2.8 |  follower |      45.00 |    0 |      78.7 |      78.7 |      78.7 |        78.7 |      True |    camera |     roundabout_giveway |           | 
  2.9 |  follower |      45.00 |    0 |      76.7 |      76.7 |      76.7 |        76.7 |      True |    camera |     roundabout_giveway |           | 
  3.0 |  follower |      45.00 |    0 |      74.6 |      74.6 |      74.6 |        74.6 |      True |    camera |     roundabout_giveway |           | 
  3.1 |  follower |      45.00 |    0 |      72.6 |      72.6 |      72.6 |        72.6 |      True |    camera |     roundabout_giveway |           | 
  3.2 |  follower |      45.00 |    0 |      70.6 |      70.6 |      70.6 |        70.6 |      True |    camera |     roundabout_giveway |           | 
  3.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  3.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  4.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  5.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  6.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  7.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  8.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.6 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.7 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.8 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
  9.9 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.0 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.1 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.2 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.3 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.4 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
 10.5 |  follower |      45.00 |    0 |      95.5 |      95.5 |         - |        95.5 |      True |    camera |                vehicle |           | 
