Scenario: Pull-away phantom attack with a close follower
Showing vehicle: 'follower' (pass a second argument to choose a different one)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
  0.0 |  follower |      20.00 |    0 |      15.5 |      15.5 |      15.5 |        15.5 |      True |    camera |                vehicle |           | 
  0.1 |  follower |      19.44 |    0 |      15.5 |      15.5 |      15.5 |        15.5 |      True |    camera |                vehicle |           | 
  0.2 |  follower |      18.95 |    0 |      15.5 |      15.5 |      15.5 |        15.5 |      True |    camera |                vehicle |           | 
  0.3 |  follower |      18.52 |    0 |      15.6 |      15.6 |      15.6 |        15.6 |      True |    camera |                vehicle |           | 
  0.4 |  follower |      18.17 |    0 |      15.7 |      15.7 |      15.7 |        15.7 |      True |    camera |                vehicle |           | 
  0.5 |  follower |      17.87 |    0 |      15.8 |      15.8 |      15.8 |        15.8 |      True |    camera |                vehicle |           | 
  0.6 |  follower |      17.64 |    0 |      15.9 |      15.9 |      15.9 |        15.9 |      True |    camera |                vehicle |           | 
  0.7 |  follower |      17.45 |    0 |      16.0 |      16.0 |      16.0 |        16.0 |      True |    camera |                vehicle |           | 
  0.8 |  follower |      17.32 |    0 |      16.1 |      16.1 |      16.1 |        16.1 |      True |    camera |                vehicle |           | 
  0.9 |  follower |      17.23 |    0 |      16.2 |      16.2 |      16.2 |        16.2 |      True |    camera |                vehicle |           | 
  1.0 |  follower |      17.17 |    0 |      16.3 |      16.3 |      16.3 |        16.3 |      True |    camera |                vehicle |           | 
  1.1 |  follower |      17.14 |    0 |      16.5 |      16.5 |      16.5 |        16.5 |      True |    camera |                vehicle |           | 
  1.2 |  follower |      17.14 |    0 |      16.6 |      16.6 |      16.6 |        16.6 |      True |    camera |                vehicle |           | 
  1.3 |  follower |      17.59 |    0 |      16.7 |      16.7 |      16.7 |        16.7 |      True |    camera |                vehicle |           | 
  1.4 |  follower |      17.54 |    0 |      16.8 |      16.8 |      16.8 |        16.8 |      True |    camera |                vehicle |           | 
  1.5 |  follower |      17.52 |    0 |      16.9 |      16.9 |      16.9 |        16.9 |      True |    camera |                vehicle |           | 
  1.6 |  follower |      17.52 |    0 |      17.0 |      17.0 |      17.0 |        17.0 |      True |    camera |                vehicle |           | 
  1.7 |  follower |      17.96 |    0 |      17.1 |      17.1 |      17.1 |        17.1 |      True |    camera |                vehicle |           | 
  1.8 |  follower |      17.91 |    0 |      17.2 |      17.2 |      17.2 |        17.2 |      True |    camera |                vehicle |           | 
  1.9 |  follower |      17.88 |    0 |      17.3 |      17.3 |      17.3 |        17.3 |      True |    camera |                vehicle |           | 
  2.0 |  follower |      17.87 |    0 |      17.4 |      17.4 |      17.4 |        17.4 |      True |    camera |                vehicle |           | 
  2.1 |  follower |      18.32 |    0 |      17.5 |      17.5 |      17.5 |        17.5 |      True |    camera |                vehicle |           | 
  2.2 |  follower |      18.25 |    0 |      17.6 |      17.6 |      17.6 |        17.6 |      True |    camera |                vehicle |           | 
  2.3 |  follower |      18.21 |    0 |      17.7 |      17.7 |      17.7 |        17.7 |      True |    camera |                vehicle |           | 
  2.4 |  follower |      18.19 |    0 |      17.7 |      17.7 |      17.7 |        17.7 |      True |    camera |                vehicle |           | 
  2.5 |  follower |      18.18 |    0 |      17.8 |      17.8 |      17.8 |        17.8 |      True |    camera |                vehicle |           | 
  2.6 |  follower |      18.63 |    0 |      17.9 |      17.9 |      17.9 |        17.9 |      True |    camera |                vehicle |           | 
  2.7 |  follower |      18.57 |    0 |      18.0 |      18.0 |      18.0 |        18.0 |      True |    camera |                vehicle |           | 
  2.8 |  follower |      18.52 |    0 |      18.0 |      18.0 |      18.0 |        18.0 |      True |    camera |                vehicle |           | 
  2.9 |  follower |      18.49 |    0 |      18.1 |      18.1 |      18.1 |        18.1 |      True |    camera |                vehicle |           | 
  3.0 |  follower |      18.48 |    0 |      18.2 |      18.2 |      18.2 |        18.2 |      True |    camera |                vehicle |           | 
  3.1 |  follower |      18.48 |    0 |      18.2 |      18.2 |      18.2 |        18.2 |      True |    camera |                vehicle |           | 
  3.2 |  follower |      18.93 |    0 |      18.3 |      18.3 |      18.3 |        18.3 |      True |    camera |                vehicle |           | 
  3.3 |  follower |      18.86 |    0 |      18.3 |      18.3 |      18.3 |        18.3 |      True |    camera |                vehicle |           | 
  3.4 |  follower |      18.82 |    0 |      18.4 |      18.4 |      18.4 |        18.4 |      True |    camera |                vehicle |           | 
  3.5 |  follower |      18.79 |    0 |      18.4 |      18.4 |      18.4 |        18.4 |      True |    camera |                vehicle |           | 
  3.6 |  follower |      18.77 |    0 |      18.5 |      18.5 |      18.5 |        18.5 |      True |    camera |                vehicle |           | 
  3.7 |  follower |      18.76 |    0 |      18.6 |      18.6 |      18.6 |        18.6 |      True |    camera |                vehicle |           | 
  3.8 |  follower |      19.21 |    0 |      18.6 |      18.6 |      18.6 |        18.6 |      True |    camera |                vehicle |           | 
  3.9 |  follower |      19.14 |    0 |      18.6 |      18.6 |      18.6 |        18.6 |      True |    camera |                vehicle |           | 
  4.0 |  follower |      19.09 |    0 |      18.7 |      18.7 |      18.7 |        18.7 |      True |    camera |                vehicle |           | 
  4.1 |  follower |      19.05 |    0 |      18.7 |      18.7 |      18.7 |        18.7 |      True |    camera |                vehicle |           | 
  4.2 |  follower |      19.02 |    0 |      18.8 |      18.8 |      18.8 |        18.8 |      True |    camera |                vehicle |           | 
  4.3 |  follower |      19.00 |    0 |      18.8 |      18.8 |      18.8 |        18.8 |      True |    camera |                vehicle |           | 
  4.4 |  follower |      19.00 |    0 |      18.8 |      18.8 |      18.8 |        18.8 |      True |    camera |                vehicle |           | 
  4.5 |  follower |      19.00 |    0 |      18.9 |      18.9 |      18.9 |        18.9 |      True |    camera |                vehicle |           | 
  4.6 |  follower |      19.44 |    0 |      18.9 |      18.9 |      18.9 |        18.9 |      True |    camera |                vehicle |           | 
  4.7 |  follower |      19.38 |    0 |      19.0 |      19.0 |      19.0 |        19.0 |      True |    camera |                vehicle |           | 
  4.8 |  follower |      19.33 |    0 |      19.0 |      19.0 |      19.0 |        19.0 |      True |    camera |                vehicle |           | 
  4.9 |  follower |      19.29 |    0 |      19.0 |      19.0 |      19.0 |        19.0 |      True |    camera |                vehicle |           | 
  5.0 |  follower |      19.26 |    0 |      19.0 |      19.0 |      19.0 |        19.0 |      True |    camera |                vehicle |           | 
  5.1 |  follower |      19.24 |    0 |      19.1 |      19.1 |      19.1 |        19.1 |      True |    camera |                vehicle |           | 
  5.2 |  follower |      19.23 |    0 |      19.1 |      19.1 |      19.1 |        19.1 |      True |    camera |                vehicle |           | 
