run_id,follower.fusion_policy,lead.start_distance,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
0,camera_priority,60,follower,True,serious,7.699999999999989,0.0,0.0
0,camera_priority,60,lead,False,,,44.19,44.74
1,camera_priority,65,follower,True,serious,7.699999999999989,0.0,0.0
1,camera_priority,65,lead,True,serious,4.300000000000001,0.0,0.0
2,camera_priority,70,follower,True,serious,7.499999999999989,0.0,0.0
2,camera_priority,70,lead,False,,,44.19,44.74
3,camera_priority,75,follower,True,serious,7.499999999999989,0.0,0.0
3,camera_priority,75,lead,True,serious,3.800000000000002,0.0,0.0
4,majority_vote,60,follower,False,,,1.3,44.74
4,majority_vote,60,lead,False,,,44.19,44.74
5,majority_vote,65,follower,False,,,0.0,0.0
5,majority_vote,65,lead,True,serious,4.300000000000001,0.0,0.0
6,majority_vote,70,follower,False,,,0.0,43.84
6,majority_vote,70,lead,False,,,44.19,44.74
7,majority_vote,75,follower,False,,,0.0,0.0
7,majority_vote,75,lead,True,serious,3.800000000000002,0.0,0.0
8,confidence_weighted,60,follower,False,,,1.3,44.74
8,confidence_weighted,60,lead,False,,,44.19,44.74
9,confidence_weighted,65,follower,False,,,0.0,0.0
9,confidence_weighted,65,lead,True,serious,4.300000000000001,0.0,0.0
10,confidence_weighted,70,follower,False,,,0.0,43.84
10,confidence_weighted,70,lead,False,,,44.19,44.74
11,confidence_weighted,75,follower,False,,,0.0,0.0
11,confidence_weighted,75,lead,True,serious,3.800000000000002,0.0,0.0
12,plausibility_filtered,60,follower,False,,,1.3,44.74
12,plausibility_filtered,60,lead,False,,,44.19,44.74
13,plausibility_filtered,65,follower,False,,,0.0,0.0
13,plausibility_filtered,65,lead,True,serious,4.300000000000001,0.0,0.0
14,plausibility_filtered,70,follower,False,,,0.0,43.84
14,plausibility_filtered,70,lead,False,,,44.19,44.74
15,plausibility_filtered,75,follower,False,,,0.0,0.0
15,plausibility_filtered,75,lead,True,serious,3.800000000000002,0.0,0.0
