run_id,visibility,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
0,0.1,oncoming,True,serious,7.499999999999989,0.0,0.0
0,0.1,solo,True,serious,7.499999999999989,0.0,0.0
1,0.12,oncoming,True,serious,7.599999999999989,0.0,0.0
1,0.12,solo,True,serious,7.599999999999989,0.0,0.0
2,0.14,oncoming,True,serious,7.599999999999989,0.0,0.0
2,0.14,solo,True,serious,7.599999999999989,0.0,0.0
3,0.16,oncoming,True,serious,7.599999999999989,0.0,0.0
3,0.16,solo,True,serious,7.599999999999989,0.0,0.0
4,0.18,oncoming,True,serious,7.599999999999989,0.0,0.0
4,0.18,solo,True,serious,7.599999999999989,0.0,0.0
5,0.2,oncoming,True,serious,7.699999999999989,0.0,0.0
5,0.2,solo,True,serious,7.699999999999989,0.0,0.0
6,0.22,oncoming,True,serious,7.699999999999989,0.0,0.0
6,0.22,solo,True,serious,7.699999999999989,0.0,0.0
7,0.24,oncoming,True,serious,7.699999999999989,0.0,0.0
7,0.24,solo,True,serious,7.699999999999989,0.0,0.0
8,0.26,oncoming,True,serious,7.699999999999989,0.0,0.0
8,0.26,solo,True,serious,7.699999999999989,0.0,0.0
9,0.28,oncoming,True,slight,7.799999999999988,0.0,0.0
9,0.28,solo,True,slight,7.799999999999988,0.0,0.0
10,0.3,oncoming,True,slight,7.799999999999988,0.0,0.0
10,0.3,solo,True,slight,7.799999999999988,0.0,0.0
11,0.35,oncoming,False,,,15.0,15.0
11,0.35,solo,False,,,0.0,43.84
12,0.4,oncoming,False,,,15.0,15.0
12,0.4,solo,False,,,0.0,43.84
13,0.5,oncoming,False,,,15.0,15.0
13,0.5,solo,False,,,0.0,43.84
14,0.65,oncoming,False,,,15.0,15.0
14,0.65,solo,False,,,0.0,43.84
15,0.8,oncoming,False,,,15.0,15.0
15,0.8,solo,False,,,0.0,43.84
16,1.0,oncoming,False,,,15.0,15.0
16,1.0,solo,False,,,0.0,43.84
